year,num,wen,zi,wenzi,wenjing
1987,6,5,0,1,0
1988,0,0,0,0,0
1989,0,0,0,0,0
1990,1,0,0,1,0
1991,0,0,0,0,0
1992,3,0,3,0,0
1993,0,0,0,0,0
1994,4,4,0,0,0
1995,0,0,0,0,0
1996,2,0,0,1,1
1997,3,3,0,0,0
1998,2,2,0,0,0
1999,2,1,0,1,0
2000,4,4,0,0,0
2001,1,1,0,0,0
2002,0,0,0,0,0
2003,1,0,1,0,0
2004,1,1,0,0,0
2005,1,1,0,0,0
2006,2,1,1,0,0
2007,2,1,1,0,0
2008,2,1,1,0,0
2009,1,0,0,0,1
2010,2,1,1,0,0
2011,1,0,0,0,1
2012,2,1,1,0,0
2013,2,0,1,0,1
2014,2,2,0,0,0
2015,1,0,1,0,0
2016,2,0,1,0,1
2017,2,1,1,0,0
